,movie_title,title_year,director_name,actor_1_name,duration,facenumber_in_poster,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes
60,Dredd,2012,Pete Travis,Wood Harris,95,0.5,35000000,13401683,7.1,203458,588,432,38,46000,409,578
62,Jumper,2008,Doug Liman,Kristen Stewart,88,0.5,85000000,80170146,6.1,243053,488,238,218,0,17000,21863
63,Hellboy II: The Golden Army,2008,Guillermo del Toro,Seth MacFarlane,120,0.5,85000000,75754670,7.0,208422,342,345,0,3000,3000,3632
64,Zodiac,2007,David Fincher,Robert Downey Jr.,162,0.5,65000000,33048353,7.7,301279,589,377,21000,12000,21000,36928
66,The Expendables,2010,Sylvester Stallone,Jason Statham,113,2.0,80000000,102981571,6.5,270226,741,424,13000,57000,26000,46355
67,RED 2,2013,Dean Parisot,Bruce Willis,116,2.0,84000000,53215979,6.7,125036,205,234,23,22000,13000,25220
68,Get Smart,2008,Peter Segal,Bill Murray,110,0.5,80000000,130313314,6.5,168172,380,265,88,0,13000,44798
69,Something's Gotta Give,2003,Nancy Meyers,Keanu Reeves,128,0.5,80000000,124590960,6.7,91092,402,145,278,0,18000,22679
71,Robots,2005,Chris Wedge,Jim Broadbent,91,0.5,75000000,128200012,6.3,103022,269,163,77,0,1000,1804
72,Face/Off,1997,John Woo,Nicolas Cage,138,0.5,80000000,112225777,7.3,283967,535,155,610,11000,12000,17087
73,Bedtime Stories,2008,Adam Shankman,Adam Sandler,99,0.5,80000000,109993847,6.1,72326,116,144,163,0,11000,12831
74,Road to Perdition,2002,Sam Mendes,Tom Hanks,117,0.5,80000000,104054514,7.7,200359,1009,226,0,0,15000,16828
75,Just Go with It,2011,Dennis Dugan,Adam Sandler,117,0.5,80000000,103028109,6.4,172878,203,204,221,19000,11000,16325
76,Con Air,1997,Simon West,Steve Buscemi,123,2.0,75000000,101087161,6.8,225282,339,139,165,0,12000,15362
77,Eagle Eye,2008,D.J. Caruso,Rosario Dawson,118,2.0,80000000,101111837,6.6,150764,318,215,154,0,3000,5637
78,Cold Mountain,2003,Anthony Minghella,Philip Seymour Hoffman,154,2.0,79000000,95632614,7.2,118483,674,198,333,0,22000,61110
79,The Book of Eli,2010,Albert Hughes,Denzel Washington,118,0.5,80000000,94822707,6.9,227072,560,325,117,20000,18000,44797
81,Space Jam,1996,Joe Pytka,Bill Murray,88,0.5,80000000,90443603,6.3,112167,123,46,30,0,13000,15001
84,Conspiracy Theory,1997,Richard Donner,Julia Roberts,135,0.5,75000000,76081498,6.7,76099,162,80,503,0,8000,8355
85,Fury,2014,David Ayer,Brad Pitt,134,2.0,68000000,85707116,7.6,303185,701,406,452,82000,11000,20411
88,Spirit: Stallion of the Cimarron,2002,Kelly Asbury,Matt Damon,83,0.5,80000000,73215310,7.0,44143,216,106,21,4000,13000,14261
91,The Manchurian Candidate,2004,Jonathan Demme,Denzel Washington,129,0.5,80000000,65948711,6.6,86422,363,209,438,0,18000,20056
92,Fantasia 2000,1999,James Algar,Quincy Jones,74,0.5,80000000,60507228,7.3,27543,186,129,11,607,340,814
95,Swordfish,2001,Dominic Sena,Hugh Jackman,99,2.0,80000000,69772969,6.5,155532,543,166,57,0,20000,25942
98,Mars Attacks!,1996,Tim Burton,Natalie Portman,106,2.0,70000000,37754208,6.3,172217,405,132,13000,0,20000,22590
99,Surrogates,2009,Jonathan Mostow,Bruce Willis,89,2.0,80000000,38542418,6.3,151424,252,258,84,0,13000,18132
100,Thirteen Days,2000,Roger Donaldson,Bruce Greenwood,145,0.5,80000000,34566746,7.3,45231,315,162,79,0,981,1825
105,The Postman,1997,Kevin Costner,Olivia Williams,177,0.5,80000000,17593391,6.0,56403,376,79,0,0,766,4346
107,The Last Witch Hunter,2015,Breck Eisner,Vin Diesel,106,0.5,90000000,27356090,6.0,58752,117,202,42,21000,14000,16922
112,Cloudy with a Chance of Meatballs 2,2013,Cody Cameron,Will Forte,95,0.5,78000000,119793567,6.5,64387,85,169,18,15000,622,848
118,Children of Men,2006,Alfonso Cuarn,Charlie Hunnam,109,0.5,76000000,35286428,7.9,361767,1206,372,0,17000,16000,16479
119,50 First Dates,2004,Peter Segal,Adam Sandler,99,2.0,75000000,120776832,6.8,266103,456,147,88,11000,11000,12952
120,Hairspray,2007,Adam Shankman,Jerry Stiller,117,2.0,75000000,118823091,6.7,98693,401,219,163,0,719,1673
123,Now You See Me,2013,Louis Leterrier,Morgan Freeman,125,2.0,75000000,117698894,7.3,447979,629,384,255,105000,11000,13312
124,The Terminal,2004,Steven Spielberg,Tom Hanks,128,0.5,60000000,77032279,7.3,303864,596,151,14000,16000,15000,16199
127,Charlie Wilson's War,2007,Mike Nichols,Philip Seymour Hoffman,102,0.5,75000000,66636385,7.1,88451,289,269,0,0,22000,60646
128,Dreamgirls,2006,Bill Condon,Loretta Devine,130,0.5,70000000,103338338,6.5,55901,503,241,386,0,912,2856
130,Tears of the Sun,2003,Antoine Fuqua,Bruce Willis,142,0.5,70000000,43426961,6.6,93494,394,89,845,0,13000,16580
132,The Man from U.N.C.L.E.,2015,Guy Ritchie,Henry Cavill,116,2.0,75000000,45434443,7.3,175960,360,362,0,43000,15000,15735
133,Spanglish,2004,James L. Brooks,Adam Sandler,131,2.0,80000000,42044321,6.5,65668,342,124,274,0,11000,12522
134,Monster House,2006,Gil Kenan,Steve Buscemi,91,0.5,75000000,73661010,6.6,71137,229,190,27,0,12000,17299
135,Bandits,2001,Barry Levinson,Bruce Willis,123,2.0,80000000,41523271,6.6,57038,261,132,272,0,13000,13934
137,Anna and the King,1999,Andy Tennant,Bai Ling,148,2.0,75000000,39251128,6.7,31080,217,91,72,0,582,804
138,Immortals,2011,Tarsem Singh,Henry Cavill,110,0.5,75000000,83503161,6.1,138190,405,284,763,30000,15000,16691
139,Titan A.E.,2000,Don Bluth,Matt Damon,94,0.5,75000000,22751979,6.6,52244,377,131,383,0,13000,15857
141,Soldier,1998,Paul W.S. Anderson,Connie Nielsen,99,0.5,75000000,14567883,6.0,44248,373,67,545,0,933,2542
143,Flight of the Phoenix,2004,John Moore,Dennis Quaid,113,2.0,45000000,21009180,6.1,45815,222,114,212,1000,2000,4397
144,Unbreakable,2000,M. Night Shyamalan,Robin Wright,106,0.5,75000000,94999143,7.2,245152,1344,294,0,0,18000,33645
145,Sucker Punch,2011,Zack Snyder,Jon Hamm,128,2.0,82000000,36381716,6.1,197584,918,435,0,42000,4000,7067
147,Sphere,1998,Barry Levinson,Peter Coyote,134,2.0,75000000,36976367,6.0,81611,274,108,272,0,548,1044
148,The Angry Birds Movie,2016,Clay Kaytis,Peter Dinklage,97,0.5,73000000,107225164,6.3,27130,126,141,6,14000,22000,24350
150,Funny People,2009,Judd Apatow,Adam Sandler,153,0.5,75000000,51814190,6.4,100837,301,230,0,0,11000,11852
151,The Kingdom,2007,Peter Berg,Jennifer Garner,110,0.5,70000000,47456450,7.1,101386,289,234,532,0,3000,5187
154,The Majestic,2001,Frank Darabont,Martin Landau,152,0.5,72000000,27796042,6.9,45031,376,128,0,0,940,4310
156,The Village,2004,M. Night Shyamalan,Bryce Dallas Howard,108,0.5,60000000,114195633,6.5,193770,2003,261,0,0,3000,7273
159,S.W.A.T.,2003,Clark Johnson,Jeremy Renner,117,0.5,80000000,116643346,6.0,119807,340,144,69,0,10000,14486
160,Vanilla Sky,2001,Cameron Crowe,Tom Cruise,141,0.5,68000000,100614858,6.9,206776,1248,153,488,0,10000,11458
163,We Were Soldiers,2002,Randall Wallace,Jon Hamm,124,0.5,75000000,78120196,7.1,103241,742,141,130,5000,4000,6181
164,Olympus Has Fallen,2013,Antoine Fuqua,Gerard Butler,119,2.0,70000000,98895417,6.5,203154,698,358,845,45000,18000,31782
165,Star Trek: Insurrection,1998,Jonathan Frakes,LeVar Burton,103,0.5,58000000,70117571,6.4,56741,515,160,906,1000,1000,6207
167,Big Fish,2003,Tim Burton,Steve Buscemi,125,0.5,70000000,66257002,8.0,350698,816,235,13000,26000,12000,16138
169,War Horse,2011,Steven Spielberg,Jeremy Irvine,146,0.5,66000000,79883359,7.2,116159,488,388,14000,28000,25000,46726
170,The Monuments Men,2014,George Clooney,Bill Murray,118,2.0,70000000,78031620,6.1,102248,403,371,0,34000,13000,27674
172,Wall Street: Money Never Sleeps,2010,Oliver Stone,Frank Langella,136,2.0,70000000,52474616,6.3,84118,245,297,0,13000,903,1579
173,Dracula Untold,2014,Gary Shore,Dominic Cooper,92,0.5,70000000,55942830,6.3,138582,423,261,28,37000,3000,5178
174,The Siege,1998,Edward Zwick,Denzel Washington,116,0.5,70000000,40932372,6.3,58023,281,120,380,0,18000,32563
175,Stardust,2007,Matthew Vaughn,Henry Cavill,127,2.0,70000000,38345403,7.7,212085,492,228,905,15000,15000,16034
176,Seven Years in Tibet,1997,Jean-Jacques Annaud,Brad Pitt,136,0.5,70000000,37901509,7.0,96385,119,76,218,0,11000,12226
181,Underworld: Awakening,2012,Mns Mrlind,Theo James,88,0.5,70000000,62321039,6.4,117096,271,242,24,24000,5000,5861
183,Hart's War,2002,Gregory Hoblit,Bruce Willis,125,0.5,60000000,19076815,6.3,43651,196,112,40,997,13000,15916
184,Killer Elite,2011,Gary McKendry,Jason Statham,116,2.0,35000000,25093607,6.5,105556,157,189,5,17000,26000,49608
188,Osmosis Jones,2001,Bobby Farrelly,Ron Howard,95,0.5,70000000,13596911,6.2,25572,123,81,101,2000,2000,3734
191,Sky Captain and the World of Tomorrow,2004,Kerry Conran,Angelina Jolie Pitt,106,2.0,70000000,37760080,6.1,72868,618,197,14,0,11000,12871
193,Escape Plan,2013,Mikael Hfstrm,Sylvester Stallone,115,0.5,50000000,25121291,6.7,177653,279,286,101,34000,13000,15708
195,The Sum of All Fears,2002,Phil Alden Robinson,Morgan Freeman,124,0.5,68000000,118471320,6.4,86504,568,176,31,0,11000,12556
196,The Score,2001,Frank Oz,Robert De Niro,124,0.5,68000000,71069884,6.8,101899,445,141,0,0,22000,32871
198,Ted 2,2015,Seth MacFarlane,Liam Neeson,125,0.5,68000000,81257500,6.4,117739,229,280,3000,30000,14000,30010
199,Mystery Men,1999,Kinka Usher,Janeane Garofalo,121,2.0,65000000,29655590,6.0,53970,435,125,18,0,1000,3986
201,The Insider,1999,Michael Mann,Al Pacino,157,0.5,68000000,28965197,7.9,133526,521,209,0,0,14000,18216
202,Body of Lies,2008,Ridley Scott,Leonardo DiCaprio,128,0.5,70000000,39380442,7.1,174248,263,238,0,0,29000,29824
204,Entrapment,1999,Jon Amiel,Will Patton,113,0.5,66000000,87704396,6.2,88132,274,138,36,0,537,1302
205,The X Files,1998,Rob Bowman,Martin Landau,121,0.5,66000000,83892374,7.0,85720,297,142,38,0,940,4230
207,Need for Speed,2014,Scott Waugh,Rami Malek,132,0.5,66000000,43568507,6.5,136954,346,327,76,32000,3000,7081
209,You've Got Mail,1998,Nora Ephron,Tom Hanks,119,2.0,65000000,115731542,6.5,151812,556,153,0,0,15000,17768
210,Step Brothers,2008,Adam McKay,Will Ferrell,106,2.0,65000000,100468793,6.9,212499,277,173,285,0,8000,11264
211,The Mask of Zorro,1998,Martin Campbell,Anthony Hopkins,136,0.5,65000000,93771072,6.7,135404,318,156,258,0,12000,12396
212,Due Date,2010,Todd Phillips,Robert Downey Jr.,95,2.0,65000000,100448498,6.6,272789,285,307,480,25000,21000,23018
213,Unbroken,2014,Angelina Jolie Pitt,Finn Wittrock,137,0.5,65000000,115603980,7.2,103589,351,322,11000,35000,769,2938
214,Space Cowboys,2000,Clint Eastwood,Clint Eastwood,130,0.5,65000000,90454043,6.4,60165,326,169,16000,0,16000,17771
216,Broken Arrow,1996,John Woo,Delroy Lindo,108,2.0,50000000,70450000,6.0,77390,189,72,610,0,848,2913
217,The Kid,2000,Jon Turteltaub,Bruce Willis,104,0.5,60000000,69688384,6.1,34473,139,86,226,0,13000,16452
218,World Trade Center,2006,Oliver Stone,Nicolas Cage,129,0.5,63000000,70236496,6.0,67395,564,242,0,0,12000,14421
219,Mona Lisa Smile,2003,Mike Newell,Julia Roberts,117,0.5,65000000,63695760,6.4,61490,264,141,179,0,8000,12850
220,The Dictator,2012,Larry Charles,Sayed Badreya,99,0.5,65000000,59617068,6.4,213863,310,313,119,59000,600,1375
221,Eyes Wide Shut,1999,Stanley Kubrick,Tom Cruise,159,0.5,65000000,55637680,7.3,227071,1500,280,0,10000,10000,11424
223,Focus,2015,Glenn Ficarra,Will Smith,105,0.5,50100000,53846915,6.6,149337,221,279,43,23000,10000,11943
224,This Means War,2012,McG,Tom Hardy,103,2.0,65000000,54758461,6.3,147641,238,241,368,18000,27000,29808
226,Death Race,2008,Paul W.S. Anderson,Jason Statham,111,2.0,45000000,36064910,6.4,166610,211,230,545,0,26000,28643
227,The Long Kiss Goodnight,1996,Renny Harlin,Melina Kanakaredes,121,2.0,65000000,33328051,6.7,60508,285,94,212,4000,394,1531
228,Proof of Life,2000,Taylor Hackford,Pamela Reed,135,0.5,65000000,32598931,6.2,49300,265,134,138,892,324,1013
229,Zathura: A Space Adventure,2005,Jon Favreau,Kristen Stewart,101,0.5,65000000,28045540,6.1,67707,202,136,4000,0,17000,32232
231,We Are Marshall,2006,McG,Matthew McConaughey,131,0.5,65000000,43532294,7.1,46951,175,96,368,0,11000,12088
234,Oliver Twist,2005,Roman Polanski,Ian McNeice,130,0.5,50000000,1987287,6.9,25474,138,127,2000,0,268,450
236,Sin City: A Dame to Kill For,2014,Frank Miller,Joseph Gordon-Levitt,102,2.0,65000000,13750556,6.5,111102,239,339,436,32000,23000,49433
238,Everest,2015,Baltasar Kormkur,Michael Kelly,121,0.5,55000000,43247140,7.1,134625,265,361,175,40000,963,2131
242,The American President,1995,Rob Reiner,Shawna Waldron,114,0.5,62000000,65000000,6.8,43027,214,75,0,0,524,2668
245,Blades of Glory,2007,Josh Gordon,Will Ferrell,93,2.0,61000000,118153533,6.3,129995,246,191,8,0,8000,13232
247,The Bourne Identity,2002,Doug Liman,Matt Damon,119,0.5,60000000,121468960,7.9,407601,849,249,218,0,13000,13249
248,GoldenEye,1995,Martin Campbell,Izabella Scorupco,130,2.0,58000000,106635996,7.2,199025,416,137,258,0,394,1784
249,The General's Daughter,1999,Simon West,Daniel von Bargen,116,0.5,95000000,102678089,6.3,42705,274,113,165,885,577,2321
251,The Prince of Egypt,1998,Brenda Chapman,Martin Short,99,2.0,70000000,101217900,7.0,91093,353,120,59,0,770,1195
253,2 Guns,2013,Baltasar Kormkur,Denzel Washington,109,0.5,61000000,75573300,6.7,156898,172,265,175,22000,18000,20148
255,The Italian Job,2003,F. Gary Gray,Jason Statham,111,2.0,60000000,106126012,7.0,285623,497,155,473,0,26000,35084
256,Two Weeks Notice,2002,Marc Lawrence,Dorian Missick,101,2.0,60000000,93307796,6.1,85673,269,118,30,0,1000,2636
260,The Scorch Trials,2015,Wes Ball,Ki Hong Lee,132,0.5,61000000,81687587,6.4,138246,360,249,47,24000,988,2517
262,The Family Man,2000,Brett Ratner,Nicolas Cage,125,0.5,60000000,75764085,6.7,85844,322,121,420,0,12000,16646
263,RED,2010,Robert Schwentke,Bruce Willis,111,2.0,58000000,90356857,7.1,238916,328,315,124,32000,13000,24928
264,Any Given Sunday,1999,Oliver Stone,Al Pacino,156,2.0,55000000,75530832,6.8,97047,452,171,0,0,14000,20761
265,The Horse Whisperer,1998,Robert Redford,Scarlett Johansson,170,0.5,60000000,75370763,6.5,32353,263,96,0,0,19000,20683
266,Collateral,2004,Michael Mann,Tom Cruise,120,0.5,65000000,100003492,7.6,293662,836,299,0,0,10000,13581
268,Ladder 49,2004,Jay Russell,Billy Burke,115,2.0,55000000,74540762,6.5,48753,323,125,13,0,2000,4496
269,Jack Reacher,2012,Christopher McQuarrie,Tom Cruise,130,2.0,60000000,80033643,7.0,226570,448,387,188,38000,10000,16385
271,This Is It,2009,Kenny Ortega,Misha Gabriel Hamilton,111,0.5,60000000,71844424,7.3,33158,223,136,197,0,433,679
272,Contagion,2011,Steven Soderbergh,Matt Damon,106,2.0,60000000,75638743,6.6,180479,411,436,0,42000,13000,13634
274,Coraline,2009,Henry Selick,Jennifer Saunders,100,0.5,60000000,75280058,7.7,143121,279,310,253,10000,309,647
276,Man on Fire,2004,Tony Scott,Denzel Washington,146,2.0,70000000,77862546,7.7,266310,690,171,12000,14000,18000,20454
278,Starsky & Hutch,2004,Todd Phillips,Snoop Dogg,101,2.0,60000000,88200225,6.1,120795,308,173,480,0,881,3943
280,Hellboy,2004,Guillermo del Toro,James Babson,132,0.5,66000000,59035104,6.8,244566,597,242,0,0,366,1112
281,A Civil Action,1998,Steven Zaillian,Robert Duvall,115,0.5,60000000,56702901,6.5,23302,181,110,234,1000,3000,4713
282,ParaNorman,2012,Chris Butler,Anna Kendrick,92,0.5,60000000,55994557,7.0,72287,176,328,28,12000,10000,13597
283,The Jackal,1997,Michael Caton-Jones,J.K. Simmons,124,0.5,60000000,54910560,6.3,88225,227,83,105,0,24000,38227
284,Paycheck,2003,John Woo,Ivana Milicevic,119,0.5,60000000,53789313,6.3,89816,347,196,610,0,834,3637
285,Up Close & Personal,1996,Jon Avnet,Joe Mantegna,124,2.0,60000000,51045801,6.1,11370,54,34,50,829,1000,3653
286,The Tale of Despereaux,2008,Sam Fell,Emma Watson,93,0.5,60000000,50818750,6.1,31209,106,118,18,0,9000,13403
289,Jack Ryan: Shadow Recruit,2014,Kenneth Branagh,Colm Feore,105,2.0,60000000,50549107,6.2,99035,289,313,0,17000,539,1411
291,Alien: Resurrection,1997,Jean-Pierre Jeunet,Gary Dourdan,116,0.5,75000000,47748610,6.3,170179,656,223,0,0,1000,3090
292,Shooter,2007,Antoine Fuqua,Tate Donovan,124,0.5,61000000,46975183,7.2,256213,338,198,845,0,650,1640
293,The Boxtrolls,2014,Graham Annable,Isaac Hempstead Wright,96,2.0,60000000,50807639,6.8,40883,122,219,7,11000,874,3151
294,Practical Magic,1998,Griffin Dunne,Goran Visnjic,104,0.5,48000000,46611204,6.1,55749,257,92,165,0,1000,4294
296,Reign of Fire,2002,Rob Bowman,Christian Bale,101,0.5,60000000,43060566,6.2,107859,569,138,38,0,23000,53024
298,Invictus,2009,Clint Eastwood,Matt Damon,134,0.5,60000000,37479778,7.4,124222,259,306,16000,23000,13000,24458
299,Duplicity,2009,Tony Gilroy,Julia Roberts,125,0.5,60000000,40559930,6.2,41727,184,211,209,0,8000,10623
301,The Sentinel,2006,Clark Johnson,Blair Brown,107,0.5,60000000,36279230,6.1,42144,213,161,69,690,310,1352
302,Star Trek: Nemesis,2002,Stuart Baird,Tom Hardy,116,0.5,60000000,43119879,6.4,58450,842,172,53,0,27000,31224
303,Intolerable Cruelty,2003,Joel Coen,Cedric the Entertainer,100,0.5,60000000,35096190,6.3,76560,322,161,0,0,436,1395
304,Edge of Darkness,2010,Martin Campbell,Bojana Novakovic,117,0.5,80000000,43290977,6.6,75201,256,258,258,0,2000,7053
307,Righteous Kill,2008,Jon Avnet,Robert De Niro,101,2.0,60000000,40076438,6.0,73368,248,198,50,0,22000,38809
308,Mercury Rising,1998,Harold Becker,Bruce Willis,111,0.5,60000000,32940507,6.1,54314,127,79,17,0,13000,16536
309,The Soloist,2009,Joe Wright,Robert Downey Jr.,117,0.5,60000000,31670931,6.7,44099,143,210,456,0,21000,23745
310,The Legend of Bagger Vance,2000,Robert Redford,Matt Damon,126,2.0,60000000,30695227,6.7,45296,267,125,0,0,13000,34774
311,Almost Famous,2000,Cameron Crowe,Philip Seymour Hoffman,152,0.5,60000000,32522352,7.9,207287,822,149,488,15000,22000,36897
314,Sinbad: Legend of the Seven Seas,2003,Patrick Gilmore,Brad Pitt,85,0.5,60000000,26288320,6.7,36144,91,98,0,880,11000,11301
315,Event Horizon,1997,Paul W.S. Anderson,Sean Pertwee,130,0.5,60000000,26616590,6.7,120416,857,172,545,10000,722,2525
316,Dragonfly,2002,Tom Shadyac,Joe Morton,104,0.5,60000000,30063805,6.1,31788,243,117,293,0,780,2109
317,Flyboys,2006,Tony Bill,James Franco,140,0.5,60000000,13082288,6.6,35565,247,123,23,2000,11000,12634
318,The Last Castle,2001,Rod Lurie,Clifton Collins Jr.,131,2.0,60000000,18208078,6.9,57100,281,110,37,0,968,3012
320,Winter's Tale,2014,Akiva Goldsman,Matt Bomer,118,0.5,60000000,22451,6.2,41288,126,189,167,17000,20000,22447
321,The Mortal Instruments: City of Bones,2013,Harald Zwart,Aidan Turner,130,2.0,60000000,31165421,6.0,107028,457,212,91,44000,5000,10247
324,Edtv,1999,Ron Howard,Matthew McConaughey,122,0.5,55000000,22362500,6.1,35599,195,115,2000,641,11000,15275
326,Beyond Borders,2003,Martin Campbell,Angelina Jolie Pitt,127,2.0,35000000,4426297,6.5,22570,156,54,258,0,11000,12947
328,Goosebumps,2015,Rob Letterman,Odeya Rush,103,2.0,58000000,80021740,6.4,47968,154,218,11,35000,2000,5497
329,Just Like Heaven,2005,Mark Waters,Jon Heder,95,0.5,58000000,48291624,6.7,82819,263,142,70,0,970,2876
332,Leatherheads,2008,George Clooney,Robert Baker,114,2.0,58000000,31199215,6.0,27664,120,186,0,472,142,589
334,The Internship,2013,Shawn Levy,Josh Gad,125,2.0,58000000,44665963,6.3,159931,281,246,189,22000,1000,5081
336,The Devil's Advocate,1997,Taylor Hackford,Keanu Reeves,136,2.0,57000000,60984028,7.5,259519,431,117,138,11000,18000,45271
338,DragonHeart,1996,Rob Cohen,Dennis Quaid,103,0.5,57000000,51317350,6.4,78343,139,60,357,0,2000,2710
339,After the Sunset,2004,Brett Ratner,Salma Hayek,97,2.0,58000000,28328132,6.3,38298,147,117,420,782,4000,9814
343,Walking Tall,2004,Kevin Bray,Dwayne Johnson,86,0.5,56000000,45860039,6.2,53118,221,117,10,0,12000,14146
346,American Wedding,2003,Jesse Dylan,Alyson Hannigan,74,2.0,55000000,104354205,6.3,162331,332,153,58,0,3000,5713
347,Captain Phillips,2013,Paul Greengrass,Tom Hanks,134,0.5,55000000,107100855,7.9,323353,527,491,521,65000,15000,16281
348,Date Night,2010,Shawn Levy,Mila Kunis,101,2.0,55000000,98711404,6.3,127571,207,247,189,0,15000,39822
349,Casper,1995,Brad Silberling,Eric Idle,100,0.5,50000000,100328194,6.0,85903,92,26,52,0,795,2638
350,The Equalizer,2014,Antoine Fuqua,Denzel Washington,132,0.5,55000000,101530738,7.2,229574,436,292,845,56000,18000,37605
352,Crimson Tide,1995,Tony Scott,Denzel Washington,123,0.5,53000000,91400000,7.3,81026,194,82,12000,0,18000,30132
