,movie_title,title_year,director_name,actor_1_name,duration,facenumber_in_poster,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes
37,Cinderella Man,2005,Ron Howard,Paddy Considine,144,0,88000000,61644321,8.0,148238,529,201,2000,0,680,2523
38,The Nutcracker in 3D,2010,Andrey Konchalovskiy,Shirley Henderson,110,0,90000000,190562,4.4,2508,24,47,96,788,887,2728
39,Seabiscuit,2003,Gary Ross,Jeff Bridges,140,0,87000000,120147445,7.3,57661,455,175,378,0,12000,13808
40,Enchanted,2007,Kevin Lima,Jeff Bennett,107,2,85000000,127706877,7.1,142496,399,222,36,0,283,662
41,Safe House,2012,Daniel Espinosa,Denzel Washington,115,1,85000000,126149655,6.8,166693,276,298,79,19000,18000,36237
42,102 Dalmatians,2000,Kevin Lima,Ioan Gruffudd,100,1,85000000,66941559,4.8,26413,77,84,36,372,2000,4182
43,Tower Heist,2011,Brett Ratner,Matthew Broderick,104,5,75000000,78009155,6.2,110073,194,236,420,0,2000,3768
44,The Holiday,2006,Nancy Meyers,Kate Winslet,138,3,85000000,63224849,6.9,182757,483,157,278,19000,14000,17423
45,Enemy of the State,1998,Tony Scott,Will Smith,140,4,90000000,111544445,7.3,188116,415,81,12000,0,10000,11951
46,It's Complicated,2009,Nancy Meyers,Meryl Streep,120,2,85000000,112703470,6.6,69860,214,187,278,0,11000,15226
47,Ocean's Thirteen,2007,Steven Soderbergh,Al Pacino,122,3,85000000,117144465,6.9,256928,288,238,0,0,14000,43499
48,Open Season,2006,Roger Allers,Jon Favreau,83,1,85000000,84303558,6.2,65270,100,107,28,863,4000,6081
49,Enemy at the Gates,2001,Jean-Jacques Annaud,Bob Hoskins,131,1,68000000,51396781,7.6,188887,662,187,218,0,5000,5103
50,The Rundown,2003,Peter Berg,Dwayne Johnson,104,1,85000000,47592825,6.7,82731,255,151,532,0,12000,16930
51,Last Action Hero,1993,John McTiernan,F. Murray Abraham,130,1,70000000,50016394,6.2,106528,257,80,323,0,670,2407
52,Memoirs of a Geisha,2005,Rob Marshall,Li Gong,145,1,85000000,57010853,7.3,119286,548,229,252,0,879,2380
53,The Fast and the Furious: Tokyo Drift,2006,Justin Lin,Amber Stevens West,104,5,85000000,62494975,6.0,179500,378,158,681,0,584,1235
54,Meet Joe Black,1998,Martin Brest,Anthony Hopkins,178,0,90000000,44606335,7.1,169023,703,98,102,10000,12000,23950
55,Collateral Damage,2002,Andrew Davis,Raymond Cruz,108,1,85000000,40048332,5.5,61417,339,135,99,941,672,1460
56,Mirror Mirror,2012,Tarsem Singh,Julia Roberts,106,1,85000000,64933670,5.6,70838,208,382,763,18000,8000,11454
57,Scott Pilgrim vs. the World,2010,Edgar Wright,Anna Kendrick,112,0,60000000,31494270,7.5,273921,522,393,1000,36000,10000,12687
58,The Core,2003,Jon Amiel,Glenn Morshower,135,0,60000000,31111260,5.4,77029,466,149,36,0,894,1439
59,Nutty Professor II: The Klumps,2000,Peter Segal,Larry Miller,109,1,65000000,123307945,4.3,39391,171,94,88,374,611,2818
60,Dredd,2012,Pete Travis,Wood Harris,95,0,35000000,13401683,7.1,203458,588,432,38,46000,409,578
61,Cats & Dogs: The Revenge of Kitty Galore,2010,Brad Peyton,Jack McBrayer,82,0,85000000,43575716,4.3,10233,63,91,62,0,975,3326
62,Jumper,2008,Doug Liman,Kristen Stewart,88,0,85000000,80170146,6.1,243053,488,238,218,0,17000,21863
63,Hellboy II: The Golden Army,2008,Guillermo del Toro,Seth MacFarlane,120,0,85000000,75754670,7.0,208422,342,345,0,3000,3000,3632
64,Zodiac,2007,David Fincher,Robert Downey Jr.,162,0,65000000,33048353,7.7,301279,589,377,21000,12000,21000,36928
65,The 6th Day,2000,Roger Spottiswoode,Robert Duvall,123,1,82000000,34543701,5.9,100001,289,170,55,0,3000,5839
66,The Expendables,2010,Sylvester Stallone,Jason Statham,113,9,80000000,102981571,6.5,270226,741,424,13000,57000,26000,46355
67,RED 2,2013,Dean Parisot,Bruce Willis,116,7,84000000,53215979,6.7,125036,205,234,23,22000,13000,25220
68,Get Smart,2008,Peter Segal,Bill Murray,110,1,80000000,130313314,6.5,168172,380,265,88,0,13000,44798
69,Something's Gotta Give,2003,Nancy Meyers,Keanu Reeves,128,1,80000000,124590960,6.7,91092,402,145,278,0,18000,22679
70,Shutter Island,2010,Martin Scorsese,Leonardo DiCaprio,138,0,80000000,127968405,8.1,786092,964,490,17000,53000,29000,29585
71,Robots,2005,Chris Wedge,Jim Broadbent,91,1,75000000,128200012,6.3,103022,269,163,77,0,1000,1804
72,Face/Off,1997,John Woo,Nicolas Cage,138,0,80000000,112225777,7.3,283967,535,155,610,11000,12000,17087
73,Bedtime Stories,2008,Adam Shankman,Adam Sandler,99,0,80000000,109993847,6.1,72326,116,144,163,0,11000,12831
74,Road to Perdition,2002,Sam Mendes,Tom Hanks,117,0,80000000,104054514,7.7,200359,1009,226,0,0,15000,16828
75,Just Go with It,2011,Dennis Dugan,Adam Sandler,117,1,80000000,103028109,6.4,172878,203,204,221,19000,11000,16325
76,Con Air,1997,Simon West,Steve Buscemi,123,6,75000000,101087161,6.8,225282,339,139,165,0,12000,15362
77,Eagle Eye,2008,D.J. Caruso,Rosario Dawson,118,3,80000000,101111837,6.6,150764,318,215,154,0,3000,5637
78,Cold Mountain,2003,Anthony Minghella,Philip Seymour Hoffman,154,3,79000000,95632614,7.2,118483,674,198,333,0,22000,61110
79,The Book of Eli,2010,Albert Hughes,Denzel Washington,118,0,80000000,94822707,6.9,227072,560,325,117,20000,18000,44797
80,The Haunting,1999,Jan de Bont,Liam Neeson,113,0,80000000,91188905,4.9,58184,805,167,101,0,14000,17786
81,Space Jam,1996,Joe Pytka,Bill Murray,88,1,80000000,90443603,6.3,112167,123,46,30,0,13000,15001
82,The Pink Panther,2006,Shawn Levy,Roger Rees,93,0,65000000,82226474,5.6,65499,424,147,189,0,1000,1267
83,The Day the Earth Stood Still,2008,Scott Derrickson,Keanu Reeves,104,0,80000000,79363785,5.5,139423,698,276,301,0,18000,22194
84,Conspiracy Theory,1997,Richard Donner,Julia Roberts,135,1,75000000,76081498,6.7,76099,162,80,503,0,8000,8355
85,Fury,2014,David Ayer,Brad Pitt,134,4,68000000,85707116,7.6,303185,701,406,452,82000,11000,20411
86,Six Days Seven Nights,1998,Ivan Reitman,Harrison Ford,98,2,70000000,74329966,5.7,60910,164,97,425,0,11000,12729
87,Yogi Bear,2010,Eric Brevig,Justin Timberlake,80,0,80000000,100169068,4.6,16385,100,143,40,0,3000,4394
88,Spirit: Stallion of the Cimarron,2002,Kelly Asbury,Matt Damon,83,0,80000000,73215310,7.0,44143,216,106,21,4000,13000,14261
89,Zookeeper,2011,Frank Coraci,Rosario Dawson,102,1,80000000,80360866,5.2,44662,127,178,153,0,3000,5392
90,Lost in Space,1998,Stephen Hopkins,Gary Oldman,130,0,80000000,69102910,5.1,58402,370,102,81,0,10000,12186
91,The Manchurian Candidate,2004,Jonathan Demme,Denzel Washington,129,1,80000000,65948711,6.6,86422,363,209,438,0,18000,20056
92,Fantasia 2000,1999,James Algar,Quincy Jones,74,0,80000000,60507228,7.3,27543,186,129,11,607,340,814
93,The Time Machine,2002,Simon Wells,Mark Addy,96,0,80000000,56684819,5.9,103787,615,124,25,3000,891,1919
94,Mighty Joe Young,1998,Ron Underwood,Charlize Theron,114,0,90000000,50628009,5.6,22955,88,35,31,0,9000,10731
95,Swordfish,2001,Dominic Sena,Hugh Jackman,99,4,80000000,69772969,6.5,155532,543,166,57,0,20000,25942
96,Little Nicky,2000,Steven Brill,Adam Sandler,90,0,80000000,39442871,5.3,80639,237,87,65,0,11000,25190
97,The Brothers Grimm,2005,Terry Gilliam,Matt Damon,118,2,88000000,37899638,5.9,98472,492,233,0,0,13000,27114
98,Mars Attacks!,1996,Tim Burton,Natalie Portman,106,3,70000000,37754208,6.3,172217,405,132,13000,0,20000,22590
99,Surrogates,2009,Jonathan Mostow,Bruce Willis,89,5,80000000,38542418,6.3,151424,252,258,84,0,13000,18132
100,Thirteen Days,2000,Roger Donaldson,Bruce Greenwood,145,1,80000000,34566746,7.3,45231,315,162,79,0,981,1825
101,Daylight,1996,Rob Cohen,Sylvester Stallone,114,0,80000000,32885565,5.8,53132,101,61,357,0,13000,25126
102,Walking with Dinosaurs 3D,2013,Barry Cook,Charlie Rowe,87,0,80000000,36073232,5.2,8913,66,113,43,0,882,1971
103,Nine,2009,Rob Marshall,Fergie,118,4,80000000,19673424,5.8,37446,232,205,252,0,529,619
104,Timeline,2003,Richard Donner,Paul Walker,116,0,80000000,19480739,5.6,53057,457,123,503,0,23000,43887
105,The Postman,1997,Kevin Costner,Olivia Williams,177,1,80000000,17593391,6.0,56403,376,79,0,0,766,4346
106,Babe: Pig in the City,1998,George Miller,Adam Goldberg,97,0,80000000,18318000,5.8,24868,216,61,750,964,1000,2521
107,The Last Witch Hunter,2015,Breck Eisner,Vin Diesel,106,0,90000000,27356090,6.0,58752,117,202,42,21000,14000,16922
108,Red Planet,2000,Antony Hoffman,Bob Neill,106,1,70000000,17473245,5.7,47612,348,145,14,995,2,2
109,A Sound of Thunder,2005,Peter Hyams,David Oyelowo,102,0,52000000,1891821,4.2,16474,301,113,0,785,1000,1890
110,Pompeii,2014,Paul W.S. Anderson,Sasha Roiz,105,0,80000000,23219748,5.6,84508,308,272,545,20000,795,1099
111,Journey 2: The Mysterious Island,2012,Brad Peyton,Josh Hutcherson,94,3,79000000,103812241,5.8,67296,133,178,62,0,14000,27842
112,Cloudy with a Chance of Meatballs 2,2013,Cody Cameron,Will Forte,95,0,78000000,119793567,6.5,64387,85,169,18,15000,622,848
113,Jack and Jill,2011,Dennis Dugan,Al Pacino,91,2,79000000,74158157,3.4,60370,264,156,221,0,14000,27405
114,2 Fast 2 Furious,2003,John Singleton,Paul Walker,107,5,76000000,127083765,5.9,191912,370,150,309,0,23000,25296
115,The Invasion,2007,Oliver Hirschbiegel,Roger Rees,99,2,80000000,15071514,5.9,65037,273,232,101,0,1000,2323
116,The Adventures of Rocky & Bullwinkle,2000,Des McAnuff,Robert De Niro,92,0,76000000,26000610,4.1,16611,197,49,5,413,22000,28050
117,The League of Extraordinary Gentlemen,2003,Stephen Norrington,Jason Flemyng,110,3,78000000,66462600,5.8,141533,786,202,45,0,1000,4714
118,Children of Men,2006,Alfonso Cuarn,Charlie Hunnam,109,0,76000000,35286428,7.9,361767,1206,372,0,17000,16000,16479
119,50 First Dates,2004,Peter Segal,Adam Sandler,99,2,75000000,120776832,6.8,266103,456,147,88,11000,11000,12952
120,Hairspray,2007,Adam Shankman,Jerry Stiller,117,9,75000000,118823091,6.7,98693,401,219,163,0,719,1673
121,Exorcist: The Beginning,2004,Renny Harlin,James D'Arcy,125,0,50000000,41814863,5.1,28635,308,167,212,893,613,1970
122,Inspector Gadget,1999,David Kellogg,Matthew Broderick,110,0,75000000,97360069,4.1,36491,231,70,16,509,2000,5320
123,Now You See Me,2013,Louis Leterrier,Morgan Freeman,125,6,75000000,117698894,7.3,447979,629,384,255,105000,11000,13312
124,The Terminal,2004,Steven Spielberg,Tom Hanks,128,0,60000000,77032279,7.3,303864,596,151,14000,16000,15000,16199
125,Hotel for Dogs,2009,Thor Freudenthal,Don Cheadle,100,4,35000000,73023275,5.4,16271,57,107,87,1000,3000,5174
126,Vertical Limit,2000,Martin Campbell,Nicholas Lea,124,0,75000000,68473360,5.9,49536,379,134,258,0,867,3424
127,Charlie Wilson's War,2007,Mike Nichols,Philip Seymour Hoffman,102,1,75000000,66636385,7.1,88451,289,269,0,0,22000,60646
128,Dreamgirls,2006,Bill Condon,Loretta Devine,130,0,70000000,103338338,6.5,55901,503,241,386,0,912,2856
129,Be Cool,2005,F. Gary Gray,Dwayne Johnson,118,4,53000000,55808744,5.7,59435,323,161,473,0,12000,15889
130,Tears of the Sun,2003,Antoine Fuqua,Bruce Willis,142,1,70000000,43426961,6.6,93494,394,89,845,0,13000,16580
131,Killers,2010,Robert Luketic,Tom Selleck,100,2,75000000,47000485,5.4,72867,120,140,126,0,19000,25206
132,The Man from U.N.C.L.E.,2015,Guy Ritchie,Henry Cavill,116,2,75000000,45434443,7.3,175960,360,362,0,43000,15000,15735
133,Spanglish,2004,James L. Brooks,Adam Sandler,131,2,80000000,42044321,6.5,65668,342,124,274,0,11000,12522
134,Monster House,2006,Gil Kenan,Steve Buscemi,91,0,75000000,73661010,6.6,71137,229,190,27,0,12000,17299
135,Bandits,2001,Barry Levinson,Bruce Willis,123,2,80000000,41523271,6.6,57038,261,132,272,0,13000,13934
136,First Knight,1995,Jerry Zucker,Julia Ormond,134,3,55000000,37600435,5.9,55350,180,53,109,0,919,1695
137,Anna and the King,1999,Andy Tennant,Bai Ling,148,2,75000000,39251128,6.7,31080,217,91,72,0,582,804
138,Immortals,2011,Tarsem Singh,Henry Cavill,110,1,75000000,83503161,6.1,138190,405,284,763,30000,15000,16691
139,Titan A.E.,2000,Don Bluth,Matt Damon,94,0,75000000,22751979,6.6,52244,377,131,383,0,13000,15857
140,Hollywood Homicide,2003,Ron Shelton,Harrison Ford,116,2,75000000,30013346,5.3,31293,254,132,41,648,11000,14028
141,Soldier,1998,Paul W.S. Anderson,Connie Nielsen,99,1,75000000,14567883,6.0,44248,373,67,545,0,933,2542
142,Monkeybone,2001,Henry Selick,Brendan Fraser,93,0,75000000,5409517,4.7,14280,171,74,253,683,3000,5580
143,Flight of the Phoenix,2004,John Moore,Dennis Quaid,113,4,45000000,21009180,6.1,45815,222,114,212,1000,2000,4397
144,Unbreakable,2000,M. Night Shyamalan,Robin Wright,106,0,75000000,94999143,7.2,245152,1344,294,0,0,18000,33645
145,Sucker Punch,2011,Zack Snyder,Jon Hamm,128,4,82000000,36381716,6.1,197584,918,435,0,42000,4000,7067
146,Snake Eyes,1998,Brian De Palma,Nicolas Cage,98,1,69000000,55585389,5.9,64121,241,117,0,880,12000,15269
147,Sphere,1998,Barry Levinson,Peter Coyote,134,3,75000000,36976367,6.0,81611,274,108,272,0,548,1044
148,The Angry Birds Movie,2016,Clay Kaytis,Peter Dinklage,97,0,73000000,107225164,6.3,27130,126,141,6,14000,22000,24350
149,Fool's Gold,2008,Andy Tennant,Matthew McConaughey,112,0,70000000,70224196,5.6,59352,138,176,72,0,11000,13827
150,Funny People,2009,Judd Apatow,Adam Sandler,153,1,75000000,51814190,6.4,100837,301,230,0,0,11000,11852
151,The Kingdom,2007,Peter Berg,Jennifer Garner,110,1,70000000,47456450,7.1,101386,289,234,532,0,3000,5187
152,Dr. Dolittle 2,2001,Steve Carr,Raven-Symon,87,0,72000000,112950721,4.6,33884,79,91,41,266,1000,3287
153,Braveheart,1995,Mel Gibson,Mhairi Calvey,178,1,72000000,75600000,8.4,736638,1065,132,0,17000,906,1976
154,The Majestic,2001,Frank Darabont,Martin Landau,152,1,72000000,27796042,6.9,45031,376,128,0,0,940,4310
155,Driven,2001,Renny Harlin,Sylvester Stallone,116,0,72000000,32616869,4.5,34435,346,109,212,886,13000,14780
156,The Village,2004,M. Night Shyamalan,Bryce Dallas Howard,108,0,60000000,114195633,6.5,193770,2003,261,0,0,3000,7273
157,Inglourious Basterds,2009,Quentin Tarantino,Michael Fassbender,153,1,75000000,120523073,8.3,885175,1527,486,16000,42000,13000,36741
158,Die Hard 2,1990,Renny Harlin,Bruce Willis,124,0,70000000,117541000,7.1,269858,316,142,212,0,13000,16595
159,S.W.A.T.,2003,Clark Johnson,Jeremy Renner,117,1,80000000,116643346,6.0,119807,340,144,69,0,10000,14486
160,Vanilla Sky,2001,Cameron Crowe,Tom Cruise,141,1,68000000,100614858,6.9,206776,1248,153,488,0,10000,11458
161,Lady in the Water,2006,M. Night Shyamalan,Bryce Dallas Howard,110,1,70000000,42272747,5.6,78635,1040,284,0,0,3000,5609
162,AVP: Alien vs. Predator,2004,Paul W.S. Anderson,Sanaa Lathan,109,0,60000000,80281096,5.6,143628,1283,247,545,0,886,3222
163,We Were Soldiers,2002,Randall Wallace,Jon Hamm,124,0,75000000,78120196,7.1,103241,742,141,130,5000,4000,6181
164,Olympus Has Fallen,2013,Antoine Fuqua,Gerard Butler,119,3,70000000,98895417,6.5,203154,698,358,845,45000,18000,31782
165,Star Trek: Insurrection,1998,Jonathan Frakes,LeVar Burton,103,0,58000000,70117571,6.4,56741,515,160,906,1000,1000,6207
166,Battle Los Angeles,2011,Jonathan Liebesman,Noel Fisher,116,0,70000000,83552429,5.8,154955,800,355,473,25000,833,4001
167,Big Fish,2003,Tim Burton,Steve Buscemi,125,0,70000000,66257002,8.0,350698,816,235,13000,26000,12000,16138
168,Wolf,1994,Mike Nichols,David Hyde Pierce,125,1,70000000,65012000,6.2,43559,137,59,0,0,443,1439
169,War Horse,2011,Steven Spielberg,Jeremy Irvine,146,1,66000000,79883359,7.2,116159,488,388,14000,28000,25000,46726
170,The Monuments Men,2014,George Clooney,Bill Murray,118,7,70000000,78031620,6.1,102248,403,371,0,34000,13000,27674
171,The Abyss,1989,James Cameron,Michael Biehn,171,0,69500000,54222000,7.6,131217,380,82,0,0,2000,4074
172,Wall Street: Money Never Sleeps,2010,Oliver Stone,Frank Langella,136,2,70000000,52474616,6.3,84118,245,297,0,13000,903,1579
173,Dracula Untold,2014,Gary Shore,Dominic Cooper,92,1,70000000,55942830,6.3,138582,423,261,28,37000,3000,5178
174,The Siege,1998,Edward Zwick,Denzel Washington,116,0,70000000,40932372,6.3,58023,281,120,380,0,18000,32563
175,Stardust,2007,Matthew Vaughn,Henry Cavill,127,8,70000000,38345403,7.7,212085,492,228,905,15000,15000,16034
176,Seven Years in Tibet,1997,Jean-Jacques Annaud,Brad Pitt,136,1,70000000,37901509,7.0,96385,119,76,218,0,11000,12226
177,The Dilemma,2011,Ron Howard,Channing Tatum,111,2,70000000,48430355,5.3,43709,141,185,2000,0,17000,18510
178,Bad Company,2002,Joel Schumacher,Anthony Hopkins,116,2,70000000,30157016,5.6,39659,189,128,541,792,12000,12993
179,Doom,2005,Andrzej Bartkowiak,Dwayne Johnson,113,0,60000000,28031250,5.2,88146,814,237,43,0,12000,13517
180,I Spy,2002,Betty Thomas,Gary Cole,97,1,70000000,33105600,5.4,41663,141,105,84,531,989,1576
181,Underworld: Awakening,2012,Mns Mrlind,Theo James,88,1,70000000,62321039,6.4,117096,271,242,24,24000,5000,5861
182,Rock of Ages,2012,Adam Shankman,James Martin Kelly,136,7,75000000,38509342,5.9,61995,356,360,163,33000,394,712
183,Hart's War,2002,Gregory Hoblit,Bruce Willis,125,0,60000000,19076815,6.3,43651,196,112,40,997,13000,15916
184,Killer Elite,2011,Gary McKendry,Jason Statham,116,2,35000000,25093607,6.5,105556,157,189,5,17000,26000,49608
185,Rollerball,2002,John McTiernan,LL Cool J,98,3,70000000,18990542,3.0,22264,289,151,323,584,1000,2763
186,Ballistic: Ecks vs. Sever,2002,Wych Kaosayananda,Talisa Soto,91,1,70000000,14294842,3.6,16761,277,92,8,391,349,1846
187,Hard Rain,1998,Mikael Salomon,Morgan Freeman,97,0,70000000,19819494,5.8,26893,126,79,13,815,11000,13628
188,Osmosis Jones,2001,Bobby Farrelly,Ron Howard,95,0,70000000,13596911,6.2,25572,123,81,101,2000,2000,3734
189,Legends of Oz: Dorothy's Return,2013,Will Finn,Lea Michele,88,1,70000000,8460990,5.6,5116,54,51,6,5000,2000,6946
190,Blackhat,2015,Michael Mann,Chris Hemsworth,133,1,70000000,7097125,5.4,38983,207,261,0,11000,26000,28129
191,Sky Captain and the World of Tomorrow,2004,Kerry Conran,Angelina Jolie Pitt,106,2,70000000,37760080,6.1,72868,618,197,14,0,11000,12871
192,Basic Instinct 2,2006,Michael Caton-Jones,Charlotte Rampling,116,1,70000000,5851188,4.2,31124,313,159,105,764,844,1899
193,Escape Plan,2013,Mikael Hfstrm,Sylvester Stallone,115,1,50000000,25121291,6.7,177653,279,286,101,34000,13000,15708
194,The Legend of Hercules,2014,Renny Harlin,Roxanne McKee,99,0,70000000,18821279,4.2,44891,202,156,212,12000,576,1520
195,The Sum of All Fears,2002,Phil Alden Robinson,Morgan Freeman,124,0,68000000,118471320,6.4,86504,568,176,31,0,11000,12556
196,The Score,2001,Frank Oz,Robert De Niro,124,0,68000000,71069884,6.8,101899,445,141,0,0,22000,32871
197,Money Train,1995,Joseph Ruben,Vincent Pastore,105,1,68000000,35324232,5.6,32224,62,40,29,617,584,1132
198,Ted 2,2015,Seth MacFarlane,Liam Neeson,125,0,68000000,81257500,6.4,117739,229,280,3000,30000,14000,30010
199,Mystery Men,1999,Kinka Usher,Janeane Garofalo,121,4,65000000,29655590,6.0,53970,435,125,18,0,1000,3986
200,Hall Pass,2011,Bobby Farrelly,Jenna Fischer,111,3,36000000,45045037,5.9,103230,143,237,101,10000,966,3393
201,The Insider,1999,Michael Mann,Al Pacino,157,1,68000000,28965197,7.9,133526,521,209,0,0,14000,18216
202,Body of Lies,2008,Ridley Scott,Leonardo DiCaprio,128,1,70000000,39380442,7.1,174248,263,238,0,0,29000,29824
203,Abraham Lincoln: Vampire Hunter,2012,Timur Bekmambetov,Rufus Sewell,105,0,69000000,37516013,5.9,128629,348,393,335,98000,3000,8281
204,Entrapment,1999,Jon Amiel,Will Patton,113,1,66000000,87704396,6.2,88132,274,138,36,0,537,1302
205,The X Files,1998,Rob Bowman,Martin Landau,121,0,66000000,83892374,7.0,85720,297,142,38,0,940,4230
206,The Last Legion,2007,Doug Lefler,Colin Firth,102,0,35000000,5932060,5.4,29285,174,90,4,0,14000,14625
207,Need for Speed,2014,Scott Waugh,Rami Malek,132,1,66000000,43568507,6.5,136954,346,327,76,32000,3000,7081
208,Dreamcatcher,2003,Lawrence Kasdan,Morgan Freeman,136,1,68000000,33685268,5.5,75573,662,175,759,4000,11000,12194
210,You've Got Mail,1998,Nora Ephron,Tom Hanks,119,2,65000000,115731542,6.5,151812,556,153,0,0,15000,17768
211,Step Brothers,2008,Adam McKay,Will Ferrell,106,2,65000000,100468793,6.9,212499,277,173,285,0,8000,11264
212,The Mask of Zorro,1998,Martin Campbell,Anthony Hopkins,136,0,65000000,93771072,6.7,135404,318,156,258,0,12000,12396
213,Due Date,2010,Todd Phillips,Robert Downey Jr.,95,3,65000000,100448498,6.6,272789,285,307,480,25000,21000,23018
214,Unbroken,2014,Angelina Jolie Pitt,Finn Wittrock,137,0,65000000,115603980,7.2,103589,351,322,11000,35000,769,2938
215,Space Cowboys,2000,Clint Eastwood,Clint Eastwood,130,1,65000000,90454043,6.4,60165,326,169,16000,0,16000,17771
216,Cliffhanger,1993,Renny Harlin,Sylvester Stallone,124,1,70000000,84049211,6.4,96096,172,74,212,0,13000,15229
