movie_title,title_year,genres,plot_keywords,movie_imdb_link,director_name,actor_1_name,actor_2_name,actor_3_name,color,duration,language,country,facenumber_in_poster,aspect_ratio,content_rating,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes
Charlie's Angels,2000,Action|Adventure|Comedy|Crime|Thriller,booty shake|box office hit|duct tape over mouth|first part|martial arts,http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1,McG,Bill Murray,LL Cool J,Kelly Lynch,Color,94,English,USA,0,2.35,PG-13,92000000,125305545,5.5,145350,643,181,368,0,13000,1000,466,15419
Mulan,1998,Adventure|Animation|Family|Fantasy|Musical|War,based on poem|based on true story|china|one word title|the huns,http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1,Tony Bancroft,Ming-Na Wen,Harvey Fierstein,June Foray,Color,88,English,USA,0,1.66,G,90000000,120618403,7.5,171792,222,143,7,12000,2000,500,484,4478
Tropic Thunder,2008,Action|Comedy,film director|parody|spoof|vietnam|written and directed by cast member,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1,Ben Stiller,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson,Color,121,English,USA,3,2.35,R,92000000,110416702,7,307539,577,308,0,0,21000,1000,918,23484
The Girl with the Dragon Tattoo,2011,Crime|Drama|Mystery|Thriller,computer hacker|hacker|investigation|journalist|punk,http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1,David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,Color,158,English,USA,1,2.35,R,90000000,102515793,7.8,330152,632,517,21000,54000,18000,1000,585,20388
Die Hard with a Vengeance,1995,Action|Adventure|Thriller,bomb|detective|new york city|police|terrorist,http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1,John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,Color,128,English,USA,1,2.35,R,90000000,100012500,7.6,299258,346,148,323,0,13000,559,489,14274
Valkyrie,2008,Drama|History|Thriller|War,american actor playing foreigner|assassination|conspiracy|military|nazis,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,Bryan Singer,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,Color,121,English,USA,0,1.85,PG-13,75000000,83077470,7.1,183247,440,269,0,0,10000,1000,919,14165
You Don't Mess with the Zohan,2008,Action|Comedy,hair stylist|jew|landlord|muslim|palestinian,http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1,Dennis Dugan,Adam Sandler,Sayed Badreya,Kevin Nealon,Color,113,English,USA,0,1.85,PG-13,90000000,100018837,5.5,156348,380,198,221,0,11000,600,503,13446
Pixels,2015,Action|Animation|Comedy|Sci-Fi,alien|arcade game|chase|driving in reverse|video gamer,http://www.imdb.com/title/tt2120120/?ref_=fn_tt_tt_1,Chris Columbus,Peter Dinklage,Adam Sandler,Josh Gad,Color,106,English,USA,0,2.35,PG-13,88000000,78747585,5.6,89770,342,253,0,39000,22000,11000,1000,35367
The Haunted Mansion,2003,Comedy|Family|Fantasy|Horror|Mystery,arachnophobia|crystal ball|ghost|haunted house|thunderstorm,http://www.imdb.com/title/tt0338094/?ref_=fn_tt_tt_1,Rob Minkoff,Marsha Thomason,Rachael Harris,Marc John Jefferies,Color,88,English,USA,0,2.35,PG,90000000,75817994,4.9,32049,179,122,50,988,691,569,441,2622
Contact,1997,Drama|Mystery|Sci-Fi|Thriller,message from outer space|religion|religion versus science|scientist|universe,http://www.imdb.com/title/tt0118884/?ref_=fn_tt_tt_1,Robert Zemeckis,Matthew McConaughey,Tom Skerritt,Larry King,Color,150,English,USA,2,2.35,PG,90000000,100853835,7.4,200556,611,159,0,15000,11000,1000,135,12289
Hollow Man,2000,Action|Horror|Sci-Fi|Thriller,experiment|research|scientist|suburb|surrealism,http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1,Paul Verhoeven,Greg Grunberg,Kim Dickens,Joey Slotnick,Color,119,English,USA,0,1.85,R,95000000,73209340,5.7,101834,628,180,719,0,833,624,423,2356
Percy Jackson: Sea of Monsters,2013,Adventure|Family|Fantasy,golden fleece|half brother|magical tree|sea|tree,http://www.imdb.com/title/tt1854564/?ref_=fn_tt_tt_1,Thor Freudenthal,Logan Lerman,Leven Rambin,Brandon T. Jackson,Color,106,English,USA,0,2.35,PG,90000000,68558662,5.9,86627,204,183,87,28000,8000,956,918,10882
Lara Croft Tomb Raider: The Cradle of Life,2003,Action|Adventure|Fantasy,duology|female hero|female lead|orb|pandora's box,http://www.imdb.com/title/tt0325703/?ref_=fn_tt_tt_1,Jan de Bont,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,Color,117,English,USA,1,2.35,PG-13,95000000,65653758,5.5,102747,316,157,101,0,18000,11000,3000,33154
Now You See Me 2,2016,Action|Adventure|Comedy|Crime|Mystery|Thriller,card trick|london england|magician|rain machine|rooftop,http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1,Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,Color,129,English,USA,6,2.35,PG-13,90000000,64685359,6.9,40862,139,196,209,15000,11000,11000,886,23031
The Saint,1997,Action|Adventure|Romance|Sci-Fi|Thriller,cold fusion|disguise|energy|fusion|the saint,http://www.imdb.com/title/tt0120053/?ref_=fn_tt_tt_1,Phillip Noyce,Alun Armstrong,Michael Byrne,Velibor Topic,Color,116,English,USA,0,2.35,PG-13,68000000,61355436,6.2,52136,184,64,176,0,192,117,84,475
Mission to Mars,2000,Adventure|Sci-Fi|Thriller,astronaut|mars|mars the planet|outer space|zero gravity,http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1,Brian De Palma,Don Cheadle,Connie Nielsen,Kim Delaney,Color,114,English,USA,0,2.35,PG,90000000,60874615,5.6,60467,949,181,0,0,3000,933,281,4902
Volcano,1997,Action|Drama|Sci-Fi|Thriller,earthquake|fire|lava|rescue|volcano,http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1,Mick Jackson,Don Cheadle,Anne Heche,Gaby Hoffmann,Color,104,English,USA,0,1.85,PG-13,90000000,47474112,5.4,58227,181,84,81,2000,3000,643,612,5062
The Devil's Own,1997,Action|Crime|Drama|Thriller,friendship|murder|northern ireland|police officer|terrorist,http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1,Alan J. Pakula,Harrison Ford,Brad Pitt,Natascha McElhone,Color,111,English,USA,0,2.35,R,86000000,42877165,6.1,45602,114,66,79,979,11000,11000,2000,26088
Conan the Barbarian,1982,Adventure|Fantasy,actual animal killed|cult|evil sorcerer|gladiator|warlord,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,John Milius,William Smith,Mako,Sandahl Bergman,Color,129,English,USA,0,2.35,R,20000000,37567440,6.9,113065,337,166,468,0,919,691,183,2024
Cinderella Man,2005,Biography|Drama|Sport,boxer|boxing|dream|great depression|love,http://www.imdb.com/title/tt0352248/?ref_=fn_tt_tt_1,Ron Howard,Paddy Considine,Bruce McGill,Rosemarie DeWitt,Color,144,English,USA,0,2.35,PG-13,88000000,61644321,8,148238,529,201,2000,0,680,655,537,2523
The Nutcracker in 3D,2010,Action|Family|Fantasy|Musical,box office flop|christmas|christmas eve|critically bashed|toy comes to life,http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1,Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,Color,110,English,UK,0,2.35,PG,90000000,190562,4.4,2508,24,47,96,788,887,886,554,2728
Seabiscuit,2003,Drama|History|Sport,horse|horse racing|jockey|limp|seabiscuit,http://www.imdb.com/title/tt0329575/?ref_=fn_tt_tt_1,Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill, Black and White,140,English,USA,0,2.35,PG-13,87000000,120147445,7.3,57661,455,175,378,0,12000,947,599,13808
Enchanted,2007,Animation|Comedy|Family|Fantasy|Musical|Romance,fairy tale|lawyer|love|new york|prince,http://www.imdb.com/title/tt0461770/?ref_=fn_tt_tt_1,Kevin Lima,Jeff Bennett,Teala Dunn,Fred Tatasciore,Color,107,English,USA,2,2.35,PG,85000000,127706877,7.1,142496,399,222,36,0,283,142,118,662
Safe House,2012,Action|Crime|Mystery|Thriller,cia|cia agent|consulate|on the run|safe house,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,Color,115,English,USA,1,2.35,R,85000000,126149655,6.8,166693,276,298,79,19000,18000,16000,820,36237
102 Dalmatians,2000,Adventure|Comedy|Family,dog|parole|parole officer|prison|puppy,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,Kevin Lima,Ioan Gruffudd,Eric Idle,Jim Carter,Color,100,English,USA,1,1.85,G,85000000,66941559,4.8,26413,77,84,36,372,2000,795,439,4182
Tower Heist,2011,Action|Comedy|Crime,apartment|fbi|fraud|heist|manager,http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1,Brett Ratner,Matthew Broderick,Gabourey Sidibe,Judd Hirsch,Color,104,English,USA,5,2.35,PG-13,75000000,78009155,6.2,110073,194,236,420,0,2000,906,535,3768
The Holiday,2006,Comedy|Romance,book|composer|house|love|self esteem,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,Nancy Meyers,Kate Winslet,Rufus Sewell,Sarah Parish,Color,138,English,USA,3,1.85,PG-13,85000000,63224849,6.9,182757,483,157,278,19000,14000,3000,213,17423
Enemy of the State,1998,Action|Crime|Drama|Mystery|Thriller,congressman|lawyer|nsa|on the run|surveillance,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,Tony Scott,Will Smith,Jake Busey,Lisa Bonet,Color,140,English,USA,4,2.35,R,90000000,111544445,7.3,188116,415,81,12000,0,10000,660,619,11951
It's Complicated,2009,Comedy|Drama|Romance,affair|divorce|graduation|vomiting|watching television,http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1,Nancy Meyers,Meryl Streep,Hunter Parrish,Zoe Kazan,Color,120,English,USA,2,1.85,R,85000000,112703470,6.6,69860,214,187,278,0,11000,2000,963,15226
Ocean's Thirteen,2007,Crime|Thriller,casino|heist|manmade earthquake|revenge|tunnel boring machine,http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1,Steven Soderbergh,Al Pacino,Matt Damon,Brad Pitt,Color,122,English,USA,3,2.35,PG-13,85000000,117144465,6.9,256928,288,238,0,0,14000,13000,11000,43499
Open Season,2006,Adventure|Animation|Comedy|Family,bear|deer|forest|grizzly bear|hunter,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,Color,83,English,USA,1,1.85,PG,85000000,84303558,6.2,65270,100,107,28,863,4000,650,624,6081
Enemy at the Gates,2001,Drama|History|War,battle|german|russian|sniper|stalingrad,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,Jean-Jacques Annaud,Bob Hoskins,Gabriel Thomson,Clemens Schick,Color,131,English,USA,1,2.35,R,68000000,51396781,7.6,188887,662,187,218,0,5000,35,29,5103
The Rundown,2003,Action|Adventure|Comedy|Thriller,amazon|bounty hunter|fight|hunter|jungle,http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1,Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,Color,104,English,USA,1,2.35,PG-13,85000000,47592825,6.7,82731,255,151,532,0,12000,3000,557,16930
Last Action Hero,1993,Action|Adventure|Comedy|Fantasy,action hero|hero|magic|ticket|video store,http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1,John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,Color,130,English,USA,1,2.35,PG-13,70000000,50016394,6.2,106528,257,80,323,0,670,442,330,2407
Memoirs of a Geisha,2005,Drama|Romance,coming of age|geisha|japan|jealousy|love,http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1,Rob Marshall,Li Gong,Mako,Karl Yune,Color,145,English,USA,1,2.35,PG-13,85000000,57010853,7.3,119286,548,229,252,0,879,691,210,2380
The Fast and the Furious: Tokyo Drift,2006,Action|Crime|Thriller,car|challenge|drift racing|drifting|tokyo japan,http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1,Justin Lin,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin,Color,104,English,USA,5,2.35,PG-13,85000000,62494975,6,179500,378,158,681,0,584,227,159,1235
Meet Joe Black,1998,Drama|Fantasy|Romance,birthday|death|death personified|fear of death|wealth,http://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1,Martin Brest,Anthony Hopkins,Brad Pitt,Jake Weber,Color,178,English,USA,0,1.85,PG-13,90000000,44606335,7.1,169023,703,98,102,10000,12000,11000,551,23950
Collateral Damage,2002,Action|Drama|Thriller,bare chested boy|car explosion|colombia|explosion|terrorism,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1,Andrew Davis,Raymond Cruz,Rick Worthy,Jsu Garcia,Color,108,English,USA,1,1.85,R,85000000,40048332,5.5,61417,339,135,99,941,672,174,172,1460
Mirror Mirror,2012,Adventure|Comedy|Drama|Family|Fantasy,kingdom|prince|princess|queen|snow,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1,Tarsem Singh,Julia Roberts,Nathan Lane,Danny Woodburn,Color,106,English,USA,1,1.85,PG,85000000,64933670,5.6,70838,208,382,763,18000,8000,886,809,11454
Scott Pilgrim vs. the World,2010,Action|Comedy|Fantasy|Romance,band|dating|high school|hipster|rock band,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1,Edgar Wright,Anna Kendrick,Kieran Culkin,Ellen Wong,Color,112,English,USA,0,1.85,PG-13,60000000,31494270,7.5,273921,522,393,1000,36000,10000,1000,719,12687
The Core,2003,Action|Adventure|Sci-Fi|Thriller,core|earth|natural disaster|pacemaker|scientist,http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1,Jon Amiel,Glenn Morshower,Tchky Karyo,Rekha Sharma,Color,135,English,USA,0,2.35,PG-13,60000000,31111260,5.4,77029,466,149,36,0,894,345,106,1439
Nutty Professor II: The Klumps,2000,Comedy|Romance|Sci-Fi,alter ego|marriage|professor|scientist|serum,http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1,Peter Segal,Larry Miller,Janet Jackson,Chris Elliott,Color,109,English,USA,1,1.85,PG-13,65000000,123307945,4.3,39391,171,94,88,374,611,592,571,2818
Dredd,2012,Action|Sci-Fi,brutality|dark humor|female antagonist|female warrior|post apocalypse,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Color,95,English,UK,0,2.35,R,35000000,13401683,7.1,203458,588,432,38,46000,409,107,20,578
Cats & Dogs: The Revenge of Kitty Galore,2010,Action|Comedy|Family|Fantasy,cartoon on tv|cat|dog|kitty|special agent,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1,Brad Peyton,Jack McBrayer,Sean Hayes,Katt Williams,Color,82,English,USA,0,1.85,PG,85000000,43575716,4.3,10233,63,91,62,0,975,760,615,3326
Jumper,2008,Action|Adventure|Sci-Fi|Thriller,bank|based on novel|ice|teleportation|vault,http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1,Doug Liman,Kristen Stewart,Hayden Christensen,Tom Hulce,Color,88,English,USA,0,2.35,PG-13,85000000,80170146,6.1,243053,488,238,218,0,17000,4000,521,21863
Hellboy II: The Golden Army,2008,Action|Adventure|Fantasy|Horror|Sci-Fi,creature|elf|prince|rebellion|superhero,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1,Guillermo del Toro,Seth MacFarlane,Ivn Kamars,Brian Steele,Color,120,English,USA,0,1.85,PG-13,85000000,75754670,7,208422,342,345,0,3000,3000,169,160,3632
Zodiac,2007,Crime|Drama|History|Mystery|Thriller,cartoonist|reporter|serial killer|zodiac|zodiac killer,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,David Fincher,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,Color,162,English,USA,0,2.35,R,65000000,33048353,7.7,301279,589,377,21000,12000,21000,15000,495,36928
The 6th Day,2000,Action|Mystery|Sci-Fi|Thriller,clone|cloning|future|laser gun|murder,http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1,Roger Spottiswoode,Robert Duvall,Michael Rapaport,Tony Goldwyn,Color,123,English,USA,1,2.35,PG-13,82000000,34543701,5.9,100001,289,170,55,0,3000,975,956,5839
The Expendables,2010,Action|Adventure|Thriller,action hero|assassination attempt|explosion|machine gun|rescue mission,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,Sylvester Stallone,Jason Statham,Sylvester Stallone,Jet Li,Color,113,English,USA,9,2.35,R,80000000,102981571,6.5,270226,741,424,13000,57000,26000,13000,5000,46355
RED 2,2013,Action|Comedy|Crime|Thriller,cia|cia agent|rescue|russian|team,http://www.imdb.com/title/tt1821694/?ref_=fn_tt_tt_1,Dean Parisot,Bruce Willis,Anthony Hopkins,Garrick Hagon,Color,116,English,USA,7,2.35,PG-13,84000000,53215979,6.7,125036,205,234,23,22000,13000,12000,110,25220
Get Smart,2008,Action|Adventure|Comedy,airplane|misunderstanding|obese woman|overweight woman|spy,http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1,Peter Segal,Bill Murray,Dwayne Johnson,Anne Hathaway,Color,110,English,USA,1,1.85,PG-13,80000000,130313314,6.5,168172,380,265,88,0,13000,12000,11000,44798
Something's Gotta Give,2003,Comedy|Drama|Romance,beach|dating|doctor|heart attack|weekend,http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1,Nancy Meyers,Keanu Reeves,Jon Favreau,Paul Michael Glaser,Color,128,English,USA,1,1.85,PG-13,80000000,124590960,6.7,91092,402,145,278,0,18000,4000,343,22679
Shutter Island,2010,Mystery|Thriller,female prisoner|plot twist|self delusion|surprise ending|year 1954,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,Martin Scorsese,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,Color,138,English,USA,0,2.35,R,80000000,127968405,8.1,786092,964,490,17000,53000,29000,223,163,29585
Robots,2005,Adventure|Animation|Comedy|Family|Sci-Fi,actor voicing multiple characters|box office hit|coffee|plate|robot,http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1,Chris Wedge,Jim Broadbent,Drew Carey,Paula Abdul,Color,91,English,USA,1,1.85,PG,75000000,128200012,6.3,103022,269,163,77,0,1000,311,208,1804
Face/Off,1997,Action|Crime|Sci-Fi|Thriller,death of child|face|face transplant|prison|terrorist,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,John Woo,Nicolas Cage,CCH Pounder,Joan Allen,Color,138,English,USA,0,2.35,R,80000000,112225777,7.3,283967,535,155,610,11000,12000,1000,805,17087
Bedtime Stories,2008,Comedy|Family|Fantasy|Romance,2000s|bedtime story|elephant|handyman|tween girl,http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1,Adam Shankman,Adam Sandler,Carmen Electra,Kathryn Joosten,Color,99,English,USA,0,2.35,PG,80000000,109993847,6.1,72326,116,144,163,0,11000,869,495,12831
Road to Perdition,2002,Crime|Drama|Thriller,1930s|blood|gun|on the run|revenge,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,Sam Mendes,Tom Hanks,Jennifer Jason Leigh,Liam Aiken,Color,117,English,USA,0,2.35,R,80000000,104054514,7.7,200359,1009,226,0,0,15000,1000,818,16828
Just Go with It,2011,Comedy|Romance,chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1,Dennis Dugan,Adam Sandler,Bailee Madison,Kevin Nealon,Color,117,English,USA,1,1.85,PG-13,80000000,103028109,6.4,172878,203,204,221,19000,11000,3000,503,16325
Con Air,1997,Action|Crime|Thriller,army rangers|convict|criminal|escape|prison,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1,Simon West,Steve Buscemi,Monica Potter,Dave Chappelle,Color,123,English,USA,6,2.35,R,75000000,101087161,6.8,225282,339,139,165,0,12000,878,744,15362
Eagle Eye,2008,Action|Mystery|Thriller,audio surveillance|death|pentagon|technology|twin brother,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1,D.J. Caruso,Rosario Dawson,Ethan Embry,Cameron Boyce,Color,118,English,USA,3,2.35,PG-13,80000000,101111837,6.6,150764,318,215,154,0,3000,982,915,5637
Cold Mountain,2003,Adventure|Drama|History|Romance|War,civil war|mountain|soldier|well|wounded soldier,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1,Anthony Minghella,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam,Color,154,English,USA,3,2.35,R,79000000,95632614,7.2,118483,674,198,333,0,22000,20000,16000,61110
